"FIPS","County..St","Age.Group","Gender","Veterans"
"01001","Autauga,AL","17-44","F","344.5518307"
"01001","Autauga,AL","45-64","F","403.3069026"
"01001","Autauga,AL","65-84","F","79.19718744"
"01001","Autauga,AL","85+","F","3.746539372"
"01001","Autauga,AL","17-44","M","1036.765865"
"01001","Autauga,AL","45-64","M","1929.993984"
"01001","Autauga,AL","65-84","M","1740.645015"
"01001","Autauga,AL","85+","M","271.1045732"
"01003","Baldwin,AL","17-44","F","500.8403337"
"01003","Baldwin,AL","45-64","F","786.6211508"
"01003","Baldwin,AL","65-84","F","114.9741488"
"01003","Baldwin,AL","85+","F","12.88074558"
"01003","Baldwin,AL","17-44","M","2476.554126"
"01003","Baldwin,AL","45-64","M","5459.921339"
"01003","Baldwin,AL","65-84","M","8703.629201"
"01003","Baldwin,AL","85+","M","1433.35926"
"01005","Barbour,AL","17-44","F","86.3593872"
"01005","Barbour,AL","45-64","F","100.8429177"
"01005","Barbour,AL","65-84","F","25.4579617"
"01005","Barbour,AL","85+","F","0.6902904607"
"01005","Barbour,AL","17-44","M","247.0908381"
"01005","Barbour,AL","45-64","M","638.3957526"
"01005","Barbour,AL","65-84","M","728.3138882"
"01005","Barbour,AL","85+","M","90.66787959"
"01007","Bibb,AL","17-44","F","25.77292222"
"01007","Bibb,AL","45-64","F","39.5015313"
"01007","Bibb,AL","65-84","F","21.52394661"
"01007","Bibb,AL","85+","F","0"
"01007","Bibb,AL","17-44","M","175.9209185"
"01007","Bibb,AL","45-64","M","410.8141743"
"01007","Bibb,AL","65-84","M","553.489649"
"01007","Bibb,AL","85+","M","72.61971666"
"01009","Blount,AL","17-44","F","89.91394527"
"01009","Blount,AL","45-64","F","92.34814393"
"01009","Blount,AL","65-84","F","53.79655802"
"01009","Blount,AL","85+","F","6.707855702"
"01009","Blount,AL","17-44","M","599.3924319"
"01009","Blount,AL","45-64","M","1082.693953"
"01009","Blount,AL","65-84","M","1662.584045"
"01009","Blount,AL","85+","M","268.238647"
"01011","Bullock,AL","17-44","F","18.64939599"
"01011","Bullock,AL","45-64","F","25.12435413"
"01011","Bullock,AL","65-84","F","2.249806091"
"01011","Bullock,AL","85+","F","0"
"01011","Bullock,AL","17-44","M","56.49477893"
"01011","Bullock,AL","45-64","M","175.2434008"
"01011","Bullock,AL","65-84","M","151.1801496"
"01011","Bullock,AL","85+","M","16.87960062"
"01013","Butler,AL","17-44","F","68.88270244"
"01013","Butler,AL","45-64","F","74.91542668"
"01013","Butler,AL","65-84","F","17.44868341"
"01013","Butler,AL","85+","F","0"
"01013","Butler,AL","17-44","M","199.7201472"
"01013","Butler,AL","45-64","M","500.1315671"
